Polling Site ID,Kenyatta,Odinga,Nyagah,Dida,Aukot,Kaluyu,Jirongo,Mwaura
33179089607701,30,382,2,0,0,0,0,0
41233116206301,0,410,1,0,0,0,0,0
3016007602801,37,171,0,0,2,0,1,0
32175087101002,241,203,0,0,0,0,0,0
15067033313801,17,284,1,0,0,1,1,0
30162080605201,288,0,0,0,1,0,1,1
21106052607201,400,0,1,0,0,0,0,0
12056027905601,409,54,0,0,1,0,0,0
8038018807201,16,289,1,2,0,0,0,0
26136067703201,129,277,0,1,1,0,0,0
16081040410401,31,304,0,1,1,0,1,1
47282140700601,74,314,0,2,0,0,0,0
45268133904701,147,72,0,0,3,0,1,0
37201100200401,41,290,0,0,1,0,1,0
43250124805902,1,300,1,0,0,0,0,0
3014006902301,38,158,3,1,1,2,0,1
39222110801701,156,300,5,0,2,3,2,1
21104051702501,427,8,0,0,1,0,0,0
16077038408901,29,204,2,1,0,0,0,0
22116057903002,538,3,1,0,1,0,0,0
39218108501001,59,419,1,1,2,0,2,1
45269134202202,77,254,0,0,0,0,0,0
19099049203002,395,10,0,1,0,0,0,0
3011005201504,101,259,0,0,0,0,0,0
44259129507701,42,84,0,0,0,0,0,0
24131065409301,158,29,0,0,0,0,0,0
15069034413502,19,226,5,1,7,1,2,0
41233116000301,1,465,0,0,0,0,0,0
19096048107702,434,1,0,0,0,1,0,0
47280139600302,360,129,2,0,1,0,0,0
47279139501906,526,48,2,0,3,0,2,0
22121060100701,456,1,0,0,0,0,0,1
47275137301007,87,351,0,0,0,1,0,1
30159079608901,209,5,0,0,0,0,0,0
47288143601105,241,269,0,0,0,0,0,0
9041020504402,300,140,0,9,0,0,0,0
47276137801104,301,213,0,1,0,0,0,0
1005002401904,60,269,1,1,0,0,0,0
31163081509903,535,7,0,0,0,0,0,0
35190094908601,503,10,2,0,1,1,0,0
32173086412301,272,5,0,0,0,0,0,0
47290144700405,161,349,0,0,0,1,0,1
45261130303502,163,137,2,0,2,0,0,0
46270134805701,205,269,2,0,4,1,0,1
1006002903704,119,237,2,1,0,0,0,0
18090045003401,307,2,0,0,0,0,0,0
47286142900701,286,218,0,0,0,0,0,0
40229114707001,5,284,0,1,0,0,2,0
40228113802102,108,273,3,2,5,1,1,0
45264131703302,102,184,1,1,3,1,0,0
22116058004402,464,6,0,0,0,0,0,0
47289144302107,183,254,1,0,0,0,0,0
32166082803401,201,110,2,1,0,1,1,1
6023011202602,120,204,2,0,0,0,0,0
21110054603101,379,56,0,0,1,0,1,0
23126063209601,25,26,0,0,0,1,0,0
24129064615101,328,67,3,0,0,1,0,0
1002000701205,85,282,4,1,0,0,0,0
23126063005801,67,16,0,0,0,1,1,0
47280139901608,294,236,0,0,1,1,0,0
6023011403101,17,152,0,0,0,0,0,0
17086042913601,27,309,6,0,2,0,2,1
33181090609301,520,10,0,0,1,0,1,0
8036017600901,66,200,1,16,0,0,0,0
7027013403202,259,68,0,22,1,0,0,0
26136067805001,89,251,2,1,0,0,0,0
15067033520701,208,5,0,0,1,0,1,0
1006003005803,92,228,2,6,0,1,0,1
14066032800302,424,13,2,2,0,0,0,0
47288143500810,251,139,0,10,0,0,0,0
43250124805602,0,355,0,1,0,0,0,0
2009004004203,37,350,2,1,1,0,0,0
8033016302701,24,22,0,5,1,0,0,0
29154076807501,545,16,0,0,3,0,0,0
22118058902401,496,32,0,0,1,0,0,0
39221110401502,46,295,3,1,1,0,1,1
39219108900401,128,309,3,0,1,3,0,2
24131065307201,138,15,0,0,0,0,0,0
4018008804203,43,234,2,2,4,2,1,0
43250124806203,0,474,0,0,0,0,0,0
47280140002303,428,92,0,0,0,0,0,0
43248123700701,1,346,0,0,0,0,0,0
47280139800902,290,212,0,1,1,0,0,0
32169084502402,568,5,0,1,0,0,0,0
32170085207201,365,11,0,0,1,0,0,0
28148073604501,469,2,0,0,0,0,0,0
6026012905401,56,299,4,0,2,1,0,1
16082040706802,36,286,3,0,2,1,0,0
23123061609602,76,190,1,0,2,1,0,0
27142070800201,109,259,1,0,0,0,0,0
22114056803402,255,199,4,1,0,2,0,0
3013006606501,12,250,0,0,1,1,0,0
9041020101002,389,81,1,10,0,0,0,0
3011005100203,74,356,0,1,1,0,0,0
21106052607202,400,0,0,0,2,0,0,0
13062030601001,451,44,3,1,4,0,1,0
16078038808001,50,294,6,0,2,0,0,0
35192096106602,421,16,1,0,0,0,0,0
22115057502302,458,62,2,0,1,1,0,0
42239119303103,12,533,0,0,0,0,0,0
23125062810802,45,211,2,0,5,0,1,0
22121060302003,485,1,0,0,0,0,0,0
43246122702701,2,488,0,0,2,0,0,0
24131065306201,98,58,0,0,0,0,0,0
14063031100702,398,23,0,0,3,1,0,0
19094046704401,344,3,0,1,0,0,0,0
37200099902502,48,440,6,0,3,0,1,0
47290144500115,139,337,0,0,0,0,0,0
3014006902801,51,338,2,0,0,0,1,0
18093046403501,444,2,0,0,1,0,0,0
8034017103402,170,93,0,1,1,0,1,0
26140069602301,255,54,0,0,0,0,0,0
46273136506201,178,170,2,1,0,0,1,0
16081040004502,71,399,3,2,1,1,3,2
47276137700506,209,235,2,0,0,0,0,0
32169084400603,396,73,2,0,1,1,0,0
37199099405202,27,326,1,1,1,0,0,0
12052025600602,243,41,0,0,2,1,0,0
42239119101203,3,396,0,0,1,0,0,0
47288143500910,200,187,4,9,0,0,0,0
47282141001320,98,392,1,0,0,0,1,0
44259129507102,259,40,1,1,0,0,0,0
16080039400307,63,347,1,0,0,1,0,0
45264131806301,235,220,6,1,1,0,0,0
24131065204501,46,22,0,0,0,0,0,0
21110054906902,354,6,0,0,0,0,0,0
15074036916301,32,67,1,0,1,0,2,0
21107052801201,338,1,0,1,0,0,0,0
16079039204401,35,373,7,0,0,0,0,0
39224111500302,47,274,5,1,0,0,1,0
15074036916701,12,121,3,0,4,1,4,0
27144071900401,398,116,1,0,0,0,0,0
1004001801402,108,268,2,1,1,0,0,0
30161080414901,159,1,0,0,1,0,0,0
26139069304802,248,247,2,0,0,1,0,0
47282141001302,106,364,1,0,0,0,0,0
2007003201605,42,357,5,2,0,0,0,0
45267133606702,273,180,3,2,4,0,0,1
13060029909602,351,9,0,0,0,0,1,0
1006002903802,106,207,0,1,0,0,0,0
10047023504801,272,180,4,10,0,0,0,0
45261130202202,160,186,2,0,3,2,0,0
22115057101202,344,9,0,0,0,0,0,0
23128063904801,41,45,0,0,0,0,0,0
47280139600308,427,86,0,0,0,0,0,0
15072035607801,71,335,1,0,1,0,0,1
22122060904602,321,2,0,0,0,0,0,1
45268133905202,177,100,0,0,0,2,1,0
19096047903102,457,0,1,0,1,0,0,1
40225112100104,82,336,1,0,2,1,1,0
12057028908701,296,19,1,0,0,0,1,1
3011005706803,23,298,4,1,2,0,2,0
8037018000701,92,44,2,3,0,0,0,0
43251125201101,6,358,0,0,0,0,0,0
22114056401103,413,104,0,0,0,1,0,0
25133066508601,190,175,1,0,0,0,0,0
15073035900101,51,367,2,0,1,0,0,0
1003001101311,150,245,1,0,1,0,0,0
15070034808402,61,231,2,1,0,1,2,0
40227113401502,36,244,2,0,0,0,0,0
8033016303001,147,327,0,28,0,0,0,0
1005002100501,48,147,0,0,0,0,0,0
21110054601901,53,76,1,0,0,0,0,0
24131065615801,235,61,0,0,0,1,0,0
46273136302603,217,233,2,1,5,2,2,0
34184091906202,275,178,0,0,0,1,0,0
22122060600202,458,0,0,0,0,0,0,0
28150074809101,203,9,0,0,0,0,0,0
27141070100104,343,133,2,0,1,0,0,0
8035017503801,226,125,0,48,2,1,1,0
33179089303803,293,143,0,0,2,1,0,0
34183091201709,347,191,0,0,0,0,0,0
22114056702708,499,23,0,0,0,1,1,0
18091045300202,366,2,0,0,0,0,1,0
24130064802901,121,116,0,0,0,0,0,0
47287143201303,186,335,1,0,0,0,0,1
